ID,sex,age_years,right_handedness,years_in_education,highest_education_level,current_education_level,digit_span_forward,digit_span_backward,grammatical_sensitivity,nback_1_back_dprime,nback_2_back_dprime,nback_3_back_dprime,one_minute_reading,predictive_sent_proc_RT,predictive_sent_proc_accuracy,perceptual_speed_visual_RT,perceptual_speed_auditory_RT,perceptual_speed_visual_decision,SEGM_RT_training,SEGM_RT_TRN3_RND4,SEGM_RT_RND4_REC5,SEGM_ACC_training,SEGM_ACC_TRN3_RND4,SEGM_ACC_RND4_REC5,SEGM_2AFC_bigram,SEGM_2AFC_trigram,SEGM_production,AGL_ACC_training,AGL_2AFC_phrase,AGL_2AFC_sentence,AGL_production,selfpaced_gardenpath_target,selfpaced_violation_processing_target,simon_RT,simon_accuracy,stroop_RT,stroop_accuracy,pragmatic_comprehension
5025,female,68.64166667,1,14,secondary,NA,6,5,0.769230769,-0.524400513,-0.506694206,-0.27105341,218,0.2168525,0,0.3518125,0.3166225,NA,-0.0408525,0.0645575,0.026825,-0.0625,-0.125,-0.0625,0.555555556,0.555555556,0.5,-0.071428571,0.409090909,0.625,0.5,1.0163635,0.71814625,0.06103,-0.025,0.3075875,0.116666667,0.444444444
5027_1,female,73.01944444,1,8,primary,NA,2,2,0.846153846,NA,NA,NA,NA,0.6734405,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333
5027_2,male,75.38333333,1,10,primary,NA,2,2,0.923076923,NA,NA,NA,NA,0.3882325,-0.043478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071428571,0.590909091,0.625,0.583333333,NA,NA,NA,NA,NA,NA,0.555555556
5029,male,23.23888889,1,15,secondary,BA_BSc,7,8,0.923076923,5.106512027,1.683242467,1.683242467,401,0.766038,-0.043478261,0.2762275,0.244965,0.771835,-0.0196125,0.011395,-0.0068575,0,0.0625,0.0625,0.555555556,0.444444444,0.833333333,NA,NA,NA,NA,0.220556,-0.162728333,0.022235,0.075,0.285895,0.066666667,0.777777778
5030,female,18.31944444,1,11,primary,secondary,7,6,0.923076923,5.106512027,1.059810217,0.58827413,369,0.417346,0.001976285,0.2484325,0.2408225,0.7228625,0.02985,0.0784275,0.05117,0,0.125,0.0625,0.5,0.611111111,0.75,0.047619048,0.454545455,0.6875,0.541666667,-0.175107222,0.026656875,0.0154525,0.1,0.3226525,0.216666667,0.833333333
5031,female,57.03888889,1,19,BA_BSc,NA,7,4,0.846153846,-0.253347103,-2.072866779,-1.683242467,173,0.846318,0,0.353205,0.28447,1.12845,0.106465,0.27618,0.2693675,0,0.125,0.125,0.611111111,0.444444444,0.583333333,0,0.454545455,0.625,0.416666667,0.282046,0.86404625,0.163525,0,0.46982,0,0.777777778
5032,male,57.36944444,0,16,BA_BSc,NA,2,2,0.461538462,-0.524400513,-1.560833902,-4.789291307,339,0.604225,0,0.3495,0.3285,1.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.454545455,0.625,0.333333333,0.0905,0.89075,0.036,0.05,0.2345,0.05,0.555555556
5033,female,61.65277778,1,18,secondary,NA,NA,NA,0.615384615,5.546442359,0.456300767,-0.524400513,153,0.306981,0,0.385,0.2785,1.428,-0.063,-0.0115,-0.018,0,0.0625,0,0.555555556,0.388888889,0.416666667,0.023809524,0.454545455,0.5,0.458333333,-0.051333333,0.594142857,0.085,0.1,0.521,0.266666667,0.444444444
5034,female,49.88333333,1,12,secondary,NA,8,5,0.461538462,5.546442359,1.094968337,1.805952078,180,0.263324,0,0.310395,0.2677925,1.18805,0.365515,0.4698175,0.204305,0,0.4375,0.5625,0.666666667,0.777777778,0.666666667,0.095238095,0.454545455,0.6875,0.416666667,1.1029425,0.1345175,0.105775,0,0.2902975,0.033333333,0.777777778
5035,male,49.19444444,1,18,BA_BSc,NA,NA,NA,NA,NA,NA,NA,376,NA,NA,0.2937575,0.2684625,0.820275,0.0429675,0.2398225,0.14342,0.0625,0.1875,0.1875,0.5,0.5,0.416666667,NA,NA,NA,NA,-0.788643333,0.033784375,0.0916925,0.05,NA,NA,NA
