ID,dichotic_nonforced_lat_index,digit_span_forward_span,digit_span_backward_span,MENYET_mean_ACC_all,n_back_nback_1_dprime,n_back_nback_2_dprime,n_back_nback_3_dprime,OMR_read_syls,predictive_RT_score,PROC_SPEED_vis_RT_med,PROC_SPEED_ac_RT_med,PROC_SPEED_vis_dec_RT_med,PROC_SPEED_ac_dec_RT_med,rec_vocab_ACC,SAT_ACC,SEGM_AL_medRT_train,SEGM_AL_medRT_TRN3_RND4,SEGM_AL_medRT_RND4_REC5,SEGM_AL_ACC_train,SEGM_AL_ACC_TRN3_RND4,SEGM_AL_ACC_RND4_REC5,SEGM_AL_2AFC_all,SEGM_AL_SEGM_prod_data,SEGM_VN_medRT_train,SEGM_VN_medRT_TRN3_RND4,SEGM_VN_medRT_RND4_REC5,SEGM_VN_ACC_train,SEGM_VN_ACC_TRN3_RND4,SEGM_VN_ACC_RND4_REC5,SEGM_VN_2AFC_all,SEGM_VN_SEGM_prod_data,AGL_2AFC_phr,AGL_2AFC_sent,AGL_prod,selfpaced_target_RT_diff_sertes,simon_RT_score,stroop_RT_score,stroop_ACC_score,trog_pragm_ACC_mean
6129,36.0,5.0,2.0,,0.253347103,-1.805952078,-5.546442359,,0.5932050000786036,0.299305,0.3334074999999999,1.14813,,,0.8333333333333334,,,,-0.3125,0.0,-0.0625,,,0.406675,0.46189,0.10976,0.133333333,0.2,0.266666667,0.805555556,0.583333333,0.5,0.6875,0.25,,0.0266624999999999,0.3202400000000001,0.1166666666666665,0.8333333333333334
6130,-4.0,7.0,5.0,,4.264890794,0.0,-0.253347103,,0.6108310000789388,0.3185099999999999,0.3689375,,,,0.3333333333333333,,,,-0.0625,0.5,-0.0625,,,0.27806,0.398905,0.177745,0.066666667,0.0,-0.2,0.416666667,0.583333333,0.4545454545454545,0.5,0.375,,-0.0481525,0.1543,0.2666666666666666,0.8333333333333334
6131,28.000000000000004,5.0,3.0,,1.534898669,-3.42326956,-3.740490281,,0.6787039996906521,0.2650675,0.2555125,0.94679,,,1.0,,,,-0.1875,-0.125,0.0625,,,0.576465,0.542535,,0.066666667,0.266666667,,,,0.4090909090909091,0.5625,0.3333333333333333,,0.02226,0.4967325,0.0499999999999999,0.6666666666666666
6132,-4.761904761904762,7.0,4.0,,2.563103131,0.512032877,-1.281551566,,0.1722894999841488,0.3642625,0.2890399999999999,0.89829,,,1.0,,,,-0.3125,-0.0625,0.25,,,0.403325,0.521505,0.433955,0.0,0.0,-0.066666667,0.75,0.916666667,0.5,0.6875,0.625,,0.0861825,0.3249875,0.0666666666666666,0.6111111111111112
6133,4.761904761904762,5.0,5.0,,4.264890794,1.028204462,-1.028204462,,0.1888000000009722,0.4159275,0.3465399999999999,0.83585,,,0.6666666666666666,,,,0.0,0.0625,0.1875,,,0.2281475,0.4932175,0.5009675,-0.066666667,-0.066666667,-0.066666667,0.611111111,0.5,0.5,0.5625,0.2916666666666667,,0.1097725,0.2591799999999999,0.1333333333333333,0.6666666666666666
6134,53.84615384615385,5.0,4.0,,,,,,0.2407964999900165,0.3395675,0.2565675,0.92374,,,0.8333333333333334,,,,-0.1875,-0.625,0.125,,,0.0454325,0.00452,-0.08347,0.066666667,0.133333333,0.066666667,0.555555556,0.333333333,0.3846153846153846,,,,0.1321575,0.713355,-0.0166666666666667,0.7777777777777778
6135,13.043478260869565,5.0,4.0,,-2.983339228,1.516110984,0.777747616,,0.9147954999164044,0.3731575,0.3359299999999999,,,,0.8333333333333334,,,,0.0625,0.0,-0.0625,,,0.036722501,-0.037804999,-0.065485,0.0,-0.2,-0.066666667,0.527777778,0.25,0.5454545454545454,0.625,0.2083333333333333,,0.11758,0.41302,0.0833333333333332,0.6666666666666666
6136,33.33333333333333,5.0,3.0,,1.281551566,-0.783086286,0.0,,0.8296089999873248,0.348295,0.351205,,,,0.8333333333333334,,,,0.0,0.125,0.0625,,,0.613195,0.62893,0.639335,0.0,0.0,0.0,0.583333333,0.666666667,0.4090909090909091,0.75,0.2916666666666667,,0.0877999999999999,0.4632999999999999,0.1833333333333333,0.5
6137,0.0,6.0,4.0,,1.094968337,0.607061815,-4.789291307,,0.2319505000599027,0.2887125,0.2945075,0.794625,,,0.8333333333333334,,,,0.0625,0.125,0.25,,,0.327645,0.662295,0.54539,0.0,0.066666667,0.066666667,0.583333333,0.5,0.5,0.4375,0.125,,0.0618724999999999,0.31067,0.0166666666666666,0.8333333333333334
6138,-18.181818181818183,5.0,4.0,,5.106512027,4.264890794,4.011543691,,0.6517779999977531,0.316465,0.2865974999999999,0.849825,,,0.6666666666666666,,,,0.1875,0.1875,0.3125,,,-0.003225,0.06073,-0.02743,-0.066666667,0.066666667,0.066666667,0.555555556,0.083333333,0.5,0.6875,0.5,,0.0806399999999999,0.2349099999999999,0.1666666666666666,0.9444444444444444
6139,20.0,5.0,4.0,,8.529781588,2.030174093,0.439930332,,0.0461929998636545,0.4279525,0.3234249999999999,0.9774675,,,0.8333333333333334,,,,-0.3125,-0.125,-0.0625,,,0.1131,0.295475,0.393765,0.0,0.0,0.0,0.861111111,0.5,0.6363636363636364,0.5625,0.3333333333333333,,0.0044275,0.2371149999999999,0.0999999999999999,0.7777777777777778
6140,-25.0,6.0,6.0,,0.841621234,0.125661347,-0.253347103,,0.7722729999552218,0.3449275,0.3179775,1.04908,,,0.6666666666666666,,,,0.0,0.625,0.6875,,,-0.028375,0.0021675,-0.0159475,0.266666667,0.066666667,-0.066666667,0.444444444,0.333333333,0.6818181818181818,0.625,0.5,,0.0513099999999999,0.4627925,0.0666666666666666,0.8333333333333334
6202,13.043478260869565,,,,5.106512027,1.560833902,0.0,,0.5892360001130628,0.35406,0.3535975,1.2535025,,,0.8333333333333334,,,,0.25,0.5,0.625,,,-0.005545,0.016615,-0.0375525,0.333333333,0.066666667,0.066666667,0.583333333,1.0,,,,,0.0586674999999998,,,
6203,51.72413793103448,,,,1.534898669,0.715959887,0.757151053,,,0.36956,0.3413125,,,,0.1666666666666666,,,,0.0,0.25,0.25,,,0.306495,0.390305,0.13314,0.0,0.0,0.0,0.555555556,0.5,0.5454545454545454,0.625,0.2916666666666667,,0.1359749999999999,,,0.5555555555555556
