ID,ba_da.wav,ba_ga.wav,ba_ka.wav,ba_pa.wav,ba_ta.wav,da_ba.wav,da_ga.wav,da_ka.wav,da_pa.wav,da_ta.wav,ga_ba.wav,ga_da.wav,ga_ka.wav,ga_pa.wav,ga_ta.wav,ka_ba.wav,ka_da.wav,ka_ga.wav,ka_pa.wav,ka_ta.wav,pa_ba.wav,pa_da.wav,pa_ga.wav,pa_ka.wav,pa_ta.wav,ta_ba.wav,ta_da.wav,ta_ga.wav,ta_ka.wav,ta_pa.wav
6207,right,right,left,left,,left,right,left,,left,left,left,left,left,right,right,right,right,right,right,right,,right,left,left,left,right,right,left,right
6208,right,right,right,left,right,right,right,,,left,left,left,left,,left,,,right,right,right,right,right,right,right,left,right,right,right,right,right
6209,left,left,,right,,right,left,,,right,right,right,right,right,right,,left,left,right,right,left,right,left,right,left,,right,left,right,right
6210,right,left,,left,right,left,right,,left,left,left,left,left,left,right,right,,right,right,right,right,right,right,left,right,,,right,left,left
6211,right,right,,left,left,right,right,,,left,right,left,left,,left,right,,right,right,left,right,right,right,left,right,,right,right,left,right
6212,left,left,,right,,right,right,right,right,right,left,left,,,,,left,left,left,left,left,left,right,right,left,,left,left,right,right
6213,right,right,,left,,,right,,left,left,right,right,left,,,right,right,right,,right,right,,right,right,right,,right,right,right,
6214,left,left,,right,,right,left,,right,right,right,right,right,right,right,left,,left,left,left,right,left,,right,left,right,left,left,left,left
6215,right,right,,left,right,right,right,left,left,left,right,left,left,right,right,right,,right,right,right,right,right,right,left,right,,right,right,right,right
6216,right,right,left,left,,left,right,left,,left,left,left,left,,left,right,,right,right,right,right,,right,left,right,right,right,right,right,left
6217,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,,right,left,right,,right,right,right,right,right,right,right,right,right,right
6218,left,left,,,,right,left,,right,right,right,right,right,,,left,left,left,left,left,left,left,left,left,left,left,left,left,left,right
6219,right,right,left,left,left,left,right,,,left,right,left,left,,,right,,right,right,right,right,,right,left,left,right,right,right,left,right
6220,left,right,right,left,right,right,right,right,right,left,left,left,left,,right,right,right,right,right,right,right,right,right,left,right,right,right,right,right,right
6221,right,left,,left,right,left,right,left,left,left,left,left,left,left,left,right,,right,right,left,right,,right,left,left,right,right,right,left,right
6223,right,right,left,left,,right,right,left,,left,left,right,left,,left,right,right,right,right,right,right,right,right,left,right,right,right,right,left,left
6224,right,right,,left,,,right,,left,left,right,,left,,,,right,right,left,,right,right,right,left,right,left,right,right,right,right
6225,left,right,,left,right,right,right,,,left,right,right,right,left,,right,right,right,right,right,right,right,right,left,right,right,right,right,,right
6226,right,left,,left,,left,,,right,left,left,left,left,left,left,,,right,right,right,right,right,,left,right,left,right,,left,left
