ID;sex;age_years;right_handedness;years_in_education;highest_education_level;current_education_level;digit_span_forward;digit_span_backward;grammatical_sensitivity;nback_1_back_dprime;nback_2_back_dprime;nback_3_back_dprime;one_minute_reading;predictive_sent_proc_RT;predictive_sent_proc_accuracy;processing_speed_visual_RT;processing_speed_auditory_RT;processing_speed_visual_decision;SEGM_RT_training;SEGM_RT_TRN3_RND4;SEGM_RT_RND4_REC5;SEGM_ACC_training;SEGM_ACC_TRN3_RND4;SEGM_ACC_RND4_REC5;SEGM_2AFC_bigram;SEGM_2AFC_trigram;SEGM_production;AGL_ACC_training;AGL_2AFC_phrase;AGL_2AFC_sentence;AGL_production;selfpaced_gardenpath_target;selfpaced_violation_processing_target;simon_RT;simon_accuracy;stroop_RT;stroop_accuracy;pragmatic_comprehension
2303;female;23.95833333;1;18;secondary;BA_BSc;-0.211331668;1.422064738;0.477764756;-0.762212162;-0.228729065;0.051595389;;1.682383549;1.085617683;-0.262977996;-0.810429649;-0.474109327;;;;;;;;;;;;;;-0.565714084;-0.420789522;-0.182969651;-0.826532689;-0.436532861;-0.258332712;-3.098548862
2305;female;19.71944444;1;13;secondary;BA_BSc;-0.211331668;-0.122989383;0.059602335;1.554043422;0.865305088;0.242237336;0.74585543;0.854123687;0.571629498;-0.538517083;-0.054568355;-0.61472133;;;;;;;;;;;;;;-0.489337702;0.441288888;-0.414896393;1.154144738;-0.341098016;0.475540892;0.208408193
2306;female;20.33055556;1;14;secondary;;-0.211331668;0.392028657;0.059602335;0.624608355;0.415151694;0.242237336;0.158064726;1.444846053;1.085617683;-0.96410613;-0.837572682;-0.816205743;;;;;;;;;;;;;;-0.074636225;-0.584328095;-0.633690829;1.154144738;-1.151931107;-0.405107425;0.575847862
2307;female;21.20277778;1;11;secondary;BA_BSc;1.458096224;1.422064738;0.059602335;0.624608355;0.308661789;1.352947229;-0.396454806;1.274784943;-1.040424348;-0.779855872;-0.779375785;-1.061591272;;;;;;;;;;;;;;0.747249445;-0.01517218;0.727707084;-0.16630688;-0.807366856;-0.258332712;1.310727207
2308;female;20.50833333;1;14;secondary;BA_BSc;2.014572188;1.937082778;0.477764756;-0.92006862;-0.504778649;-0.232262558;-0.396454806;0.817902152;-1.040424348;-0.02573268;-0.397045453;0.477373724;;;;;;;;;;;;;;-0.294932043;0.247415288;-0.64747279;0.493918929;-0.093535622;-0.69865687;0.575847862
2309;male;48.03888889;1;12;primary;;2.014572188;2.452100818;-0.776722506;-0.776595212;-1.525523269;-1.970648036;1.710719415;0.46790665;-0.479709966;-0.877923138;0.085104197;1.20899444;-0.008331478;-0.185446316;-0.145338313;-0.400232613;-0.307796106;0.038224522;-1.559899077;-0.889436021;-0.22703288;;;;;0.936076044;4.179719536;2.247435138;-0.496419784;1.295295529;-0.405107425;0.943287538
2310;female;44.63611111;1;20;MA_MSc;BA_BSc;0.345144296;0.907046698;0.895927176;0.624608355;-0.416117856;0.606950336;1.089657539;0.694818192;-0.526436163;0.346949341;0.077282534;0.389887474;;;;;;;;;;;;;;-0.219970389;0.357043686;-0.729375691;-0.16630688;-0.909286327;-0.551882148;-0.159031483
2311;female;20.07222222;1;13;secondary;BA_BSc;0.90162026;-0.638007423;-1.194884926;-1.266713353;-1.124326942;-1.715721932;-0.607172228;-0.210494063;-1.040424348;-0.559776729;-1.59878809;0.149333412;;;;;;;;;;;;;;1.993129442;0.148080393;-1.082045408;-0.826532689;-0.544924218;-0.258332712;1.310727207
2312;female;20.56388889;1;14;secondary;BA_BSc;0.345144296;-0.638007423;0.477764756;0.624608355;-0.038843814;0.359697184;-0.795708868;0.765411208;0.548266405;0.113577418;0.912757182;-0.359254955;;;;;;;;;;;;;;-0.609233802;-0.900812232;0.42028118;-0.496419784;0.799673882;0.035216733;0.575847862
2313;female;21.33055556;1;14;secondary;BA_BSc;-0.767807632;-0.638007423;0.059602335;-2.510960898;0.19612462;0.379703593;;1.684976788;0.548266405;-0.828669426;-0.282048385;-0.417772789;;;;;;;;;;;;;;0.734555919;0.509289599;0.926408627;0.163806025;0.627633815;0.328766169;0.575847862
2314;female;22.56111111;1;15;secondary;BA_BSc;;;-1.194884926;-0.441883426;-0.340691259;0.359697184;-0.607172228;-1.261086187;-0.526436163;-0.955919186;-0.136882046;-0.280809868;;;;;;;;;;;;;;-0.897711045;-0.684679574;-0.738656473;-0.496419784;0.392734914;-0.111557989;-0.526471152
2315;female;19.16111111;1;13;secondary;BA_BSc;1.458096224;0.907046698;0.059602335;-0.677767677;0.308661789;0.687805388;-0.329912462;1.594230829;-0.503073059;-0.704104631;-0.312822904;-0.913263191;;;;;;;;;;;;;;-0.464769863;0.372061205;-0.192621664;1.484257642;-0.080846647;-0.111557989;1.310727207
