ID,gramm_0,gramm_1,gramm_2,gramm_3,gramm_4,gramm_5,gramm_6,gramm_7,gramm_8,gramm_9,gramm_10,gramm_11,gramm_12,gramm_13,gramm_14,gramm_15,gramm_16,gramm_17,pragm_0,pragm_1,pragm_2,pragm_3,pragm_4,pragm_5,pragm_6,pragm_7,pragm_8,pragm_9,pragm_10,pragm_11,pragm_12,pragm_13,pragm_14,pragm_15,pragm_16,pragm_17,total
2326,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.9411764705882353
2327,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0.9411764705882353
2329,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.9411764705882353
2331,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0.9411764705882353
2332,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.6470588235294118
2333,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.9411764705882353
2334,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.8823529411764706
2335,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0.9411764705882353
2338,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0.9411764705882353
2339,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.8823529411764706
2342,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0.7647058823529411
2345,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9411764705882353
2346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.9411764705882353
2347,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.9411764705882353
2352,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0.9411764705882353
2353,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0.9411764705882353
2356,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0.8235294117647058
2357,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0.9411764705882353
2359,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0.9411764705882353
2360,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0.9411764705882353
2362,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0.9411764705882353
2364,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.9411764705882353
2367,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0.9411764705882353
2369,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0.9411764705882353
2370,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0.8235294117647058
2373,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0.8823529411764706
2374,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.8235294117647058
2375,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0.8823529411764706
2376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.9411764705882353
2377,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0.8235294117647058
2380,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0.8823529411764706
3001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0.9411764705882353
3002,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.8823529411764706
3003,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0.7647058823529411
3004,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.9411764705882353
